25
0.000000	0.000000	0	0	0
1.000000	0.000000	0	0	0
1.000000	1.000000	0	0	0
0.000000	1.000000	0	0	0
0.250000	0.000000	0	0	0
0.500000	0.000000	0	0	0
0.750000	0.000000	0	0	0
1.000000	0.250000	0	0	0
1.000000	0.500000	0	0	0
1.000000	0.750000	0	0	0
0.750000	1.000000	0	0	0
0.500000	1.000000	0	0	0
0.250000	1.000000	0	0	0
0.000000	0.750000	0	0	0
0.000000	0.500000	0	0	0
0.000000	0.250000	0	0	0
0.250000	0.250000	1	1	1
0.250000	0.500000	1	1	1
0.250000	0.750000	1	1	1
0.500000	0.250000	1	1	1
0.500000	0.500000	1	1	1
0.500000	0.750000	1	1	1
0.750000	0.250000	1	1	1
0.750000	0.500000	1	1	1
0.750000	0.750000	1	1	1
32
0	4	15	-1
15	4	16	-1
15	16	17	-1
17	14	15	-1
14	17	13	-1
13	17	18	-1
13	18	12	-1
12	3	13	-1
4	5	19	-1
19	16	4	-1
16	19	17	-1
17	19	20	-1
17	20	21	-1
21	18	17	-1
18	21	12	-1
12	21	11	-1
5	6	19	-1
19	6	22	-1
19	22	23	-1
23	20	19	-1
20	23	21	-1
21	23	24	-1
21	24	10	-1
10	11	21	-1
6	1	7	-1
7	22	6	-1
22	7	23	-1
23	7	8	-1
23	8	9	-1
9	24	23	-1
24	9	10	-1
10	9	2	-1
